post_title,post_content,post_excerpt,post_status,post_type,post_category,post_tags,custom_field_duration,custom_field_travelers,custom_field_location,custom_field_budget,custom_field_highlights,custom_field_rating,custom_field_price,featured_image,seo_title,meta_description
"Accueil","Page d'accueil avec sections hero, welcome, voyages, préparation, conseils, famille et about","Découvrez nos récits de voyage et conseils pour préparer vos aventures",publish,page,,"Accueil, Blog voyage",,,,,,,/assets/hero-mediterranean-cove.jpg,"CapSurLeMonde - Blog Voyage & Conseils","Découvrez nos récits de voyage, guides pratiques et conseils pour préparer vos aventures à travers le monde."
"Destinations","Page hub des destinations avec filtres par région","Tous nos guides de destinations avec conseils pratiques",publish,page,,"Destinations, Voyage",,,,,,,/assets/hero-mediterranean-cove.jpg,"Destinations Voyage - Guides Complets","Découvrez nos destinations voyage avec guides détaillés, budgets, itinéraires et conseils pratiques."
"Vietnam - Guide Complet","Guide complet Vietnam avec villes, itinéraires et infos pratiques","Guide voyage Vietnam : visa, budget, itinéraires 7-21 jours",publish,page,Destinations,"Vietnam, Guide, Asie",2-4 semaines,2 personnes,Vietnam,25-50€/jour,"Baie d'Ha Long, Hoi An, Ho Chi Minh, Sapa",,/assets/hero-mediterranean-cove.jpg,"Vietnam Guide Voyage Complet 2025","Guide complet du Vietnam : visas, budget 25-50€/jour, itinéraires 7-21 jours, meilleures destinations."
"Guides & Conseils","Hub des guides pratiques avec filtres par catégorie","Tous nos guides voyage et conseils pratiques basés sur l'expérience",publish,page,,"Guides, Conseils, Préparation",,,,,,,/assets/hero-mediterranean-cove.jpg,"Guides Voyage & Conseils Pratiques","Tous nos guides voyage : préparation, budget, sécurité, famille. Conseils basés sur notre expérience terrain."
"Tests & Matériel","Tests produits voyage avec comparatifs et liens affiliés","Tests honnêtes du matériel de voyage testé sur le terrain",publish,page,,"Tests, Matériel, Comparatifs",,,,,,,/assets/hero-mediterranean-cove.jpg,"Tests Matériel Voyage - Avis Produits 2025","Tests honnêtes du matériel de voyage : oreillers, valises, tech. Comparatifs détaillés et liens affiliés."
"Islande - Terre de feu et de glace","Road trip époustouflant à travers les paysages lunaires de l'Islande, entre geysers, aurores boréales et cascades majestueuses.","Un road trip de 15 jours en Islande pour découvrir ses merveilles naturelles",publish,post,Destinations,"Islande, Road trip, Aurores boréales, 15 jours",15 jours,2 personnes,Islande,,"Aurores boréales, Sources chaudes, Cascades spectaculaires",,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,"Islande Road Trip 15 Jours - Aurores Boréales","Récit road trip Islande 15 jours : aurores boréales, geysers, cascades. Itinéraire détaillé et conseils pratiques."
"Bali - L'île des Dieux","Découverte de la culture balinaise authentique, entre rizières en terrasses, temples sacrés et plages paradisiaques.","21 jours d'immersion dans la culture balinaise authentique",publish,post,Destinations,"Bali, Indonésie, Culture, 21 jours, Temples",21 jours,2 personnes,Indonésie,,"Temples hindous, Rizières d'Ubud, Plages de rêve",,https://images.unsplash.com/photo-1537953773345-d172ccf13cf1,"Bali Guide Voyage 21 Jours - Temples & Culture","Guide Bali 21 jours : temples hindous, rizières d'Ubud, plages. Découverte authentique de la culture balinaise."
"Patagonie - Au bout du monde","Aventure extraordinaire dans les terres sauvages de Patagonie, avec glaciers, montagnes et faune exceptionnelle.","28 jours d'expédition en Patagonie entre Argentine et Chili",publish,post,Destinations,"Patagonie, Argentine, Chili, 28 jours, Glaciers",28 jours,2 personnes,Argentine & Chili,,"Glacier Perito Moreno, Torres del Paine, Manchots de Magellan",,https://images.unsplash.com/photo-1469474968028-56623f02e42e,"Patagonie Voyage 28 Jours - Glaciers & Faune","Aventure Patagonie 28 jours : glacier Perito Moreno, Torres del Paine, manchots. Guide complet Argentine-Chili."
"Guide complet pour préparer son voyage au Vietnam","Tout ce qu'il faut savoir avant de partir au Vietnam : visa, vaccins, assurance, bagages, budget et conseils pratiques.","Guide préparation Vietnam : visa e-visa 25$, budget, vaccins, assurance",publish,post,Guides,"Vietnam, Visa, Préparation, Guide",,,,25-50€/jour,,,/assets/hero-mediterranean-cove.jpg,"Préparer Voyage Vietnam 2025 - Visa & Budget","Guide complet préparation Vietnam : visa e-visa 25$, vaccins, budget 25-50€/jour, assurance voyage."
"Budget voyage Vietnam : nos astuces pour économiser","Comment voyager au Vietnam avec différents budgets, de 25€ à 100€ par jour avec nos astuces terrain.","Conseils budget Vietnam de 25€ à 100€/jour avec astuces économies",publish,post,Guides,"Budget, Vietnam, Économies, Conseils",,,,25-100€/jour,,,/assets/couple-travel-portrait.jpg,"Budget Vietnam 2025 - 25€ à 100€/jour","Budget voyage Vietnam détaillé : 25-50€/jour routard, 50-100€ confort. Astuces économies et prix réels."
"Sécurité au Vietnam : guide pour voyageuses solo","Conseils spécifiques pour voyager en sécurité en tant que femme seule au Vietnam.","Guide sécurité femme solo Vietnam avec précautions et conseils pratiques",publish,post,Guides,"Sécurité, Solo, Femme, Vietnam",,1 personne,Vietnam,,,,/assets/hero-mediterranean-cove.jpg,"Vietnam Femme Solo - Sécurité & Conseils 2025","Voyager seule au Vietnam en sécurité : conseils femme solo, précautions, arnaques à éviter."
"Test Oreiller Tempur Travel - Notre Avis Complet 2024","Test complet de l'oreiller ergonomique Tempur Travel après 6 mois d'utilisation en voyage. Confort, avantages, inconvénients et verdict.","Test oreiller Tempur Travel : confort exceptionnel, prix 89€, notre avis complet",publish,post,Tests,"Oreiller, Confort, Transport, Test",,,,,4.5,89€,/assets/hero-mediterranean-cove.jpg,"Test Oreiller Tempur Travel 2024 - Prix 89€","Test complet oreiller Tempur Travel : confort, prix 89€, avantages/inconvénients. Notre avis après 6 mois."
"Xiaomi Redmi Note 12 Pro Voyage - Test Photo & Autonomie","Test du smartphone Xiaomi Redmi Note 12 Pro en voyage : qualité photo, autonomie, rapport qualité-prix pour les voyageurs.","Test Xiaomi Redmi Note 12 Pro voyage : photo, autonomie, prix 299€",publish,post,Tests,"Smartphone, Photo, Xiaomi, Budget",,,,,4.2,299€,/assets/couple-travel-portrait.jpg,"Test Xiaomi Redmi Note 12 Pro Voyage - 299€","Test Xiaomi Redmi Note 12 Pro voyage : qualité photo, autonomie, prix 299€. Parfait smartphone voyage budget."